ID;NAME_RU;NAME_EN;YEAR;COUNTRIES;GENRES;RATE;FILM_DIRECTOR;ACTORS
36ea35da-7865-4c83-b340-7172b9412c30;Водный мир;Waterworld;1995;США;action, fantasy;7.6;Кевин Рейнольдс;action, fantasy
dbb08547-53be-44ee-9d38-f9a6d5554d00;Монстр в Париже;Monster in Paris!/Un monster a Paris !;2011;Франция;family, for_child, fentezi, comedy;7.4;Бибо Бергерон;family, for_child, fentezi, comedy
2236ab3d-2e66-4213-8187-167f2bf692c8;Высотка;High-Rise;2014;Великобритания;drama, horror, fantasy;5.6;Бен Уитли;drama, horror, fantasy
178c379f-836c-464e-a715-53d2c8abaad6;Рокки 5;ROCKY V;1990;США;drama;6.8;Сильвестр Сталлоне;drama
8b8494ed-adc4-4f50-94f0-abcfc11a53a0;Умри, но не сейчас;Die Another Day;2002;Великобритания, США;thriller, action;7.0;Ли Тамахори;thriller, action
6d352878-50d7-488d-ae90-22f18bf37108;Последняя фантазия;The Last Fiction;2018;Иран;family, for_child;5.5;Асхан Рагозар;family, for_child
864c80bd-c33a-48ef-b217-10204d259166;Анон;Anon;2018;Германия, США;detective, drama, thriller, fantasy, crime;6.1;Эндрю Никкол;detective, drama, thriller, fantasy, crime
8df7f78e-2d47-40d2-8521-1578f83a4727;На границе миров;Gräns;2018;Швеция;drama, melodrama, thriller, fentezi;1.67;Али Аббаси;drama, melodrama, thriller, fentezi
703cf555-a256-4404-839e-0ae74b503139;Землетрясение;Zemletryasenie;2016;Армения, Россия;drama;6.8;Сарик Андреасян;drama
c0d6bca9-c53c-4abe-804c-8a7d56486d2d;Шесть музыкантов на фоне города;Six Musicians and the City;2016;Россия, Армения;documentary;0.0;Татьяна Данильянц;documentary
8a63962a-4183-43fd-8e11-6d96c7d8a1bb;Стартрек 2: Гнев Хана;Star Trek II: The Wrath of Khan;1982;США;action, fantasy, adventures;7.4;Николас Мейер;action, fantasy, adventures
72a9f258-a7d3-40e9-8ff2-816afe16e867;На секретной службе её Величества;On Her Majesty's Secret Service;1969;Великобритания;thriller, action;;Питер Р.Хант;thriller, action
cf6f2bb624426ac321eb9;Кунг-фу Панда 2;Kung Fu Panda: The Kaboom of Doom;2011;США;action, family, adventures, for_child, comedy;5.0;Дженнифер Ю;action, family, adventures, for_child, comedy
ec404ed2-0f98-426c-a2bc-14b8641acb33;Американская история;An American Tail;1986;США;family, for_child, comedy;7.6;Дон Блут;family, for_child, comedy
cd896767-6809-4d53-b771-199a2e3096ca;Донбасс. Окраина;ДОНБАСС. ОКРАИНА;2018;Россия;drama, thriller, military;6.2;Ренат Давлетьяров;drama, thriller, military
42430f6e-5ee2-43c7-96ec-607850ed3a5b;Тайна магазина игрушек;Tea Pets;2017;Китай;family, for_child;6.2;Гэри Ван;family, for_child
0f6379df2777d76b3fda3;В бегах;Running Around;2013;США;drama;3.33;Дэвид Лоури;drama
